r_mean,g_mean,b_mean,r_std,g_std,b_std,h_mean,s_mean,v_mean,excess_green,brightness_mean,contrast_std,laplacian_variance,entropy,edge_density,target_real
0.5129344808468381,0.4807225978799946,0.44563722257808086,0.17970294615809157,0.1358991933202484,0.18094264851691585,37.62765502262731,0.20466779426347537,0.5413482582430451,0.028820775712628848,0.49605709251215363,0.15030499059396057,5590.042199981534,6.98218526077285,0.2328540053697383,Tomato___Leaf_Mold
0.4917102801212827,0.478885195297826,0.34247019534304973,0.09469226113144591,0.10520906719920425,0.13561942564132076,47.529479973799184,0.3549827660680942,0.5264786279062836,0.14953707557429838,0.47687140044023896,0.08840449411111145,58.45965120396147,6.280977950067618,0.049016114744738284,Tomato___Septoria_leaf_spot
0.4657050120243589,0.4564792430826313,0.4454613292713487,0.15501783153597548,0.1378213686084488,0.18563141809584957,327.8690490655961,0.17104329422723574,0.4966624772410004,0.02773930903782416,0.4676845663433304,0.14583596843915253,927.3287214247001,7.011453747778452,0.11003601220567578,Tomato___Early_blight
0.3820933448681394,0.41223402981244395,0.351267274667772,0.14526391884867385,0.11303755614516525,0.18169831620337826,165.95669554997104,0.2439922715784244,0.4359941875795929,0.11705457072963286,0.4059745663051834,0.12497829902606278,1127.6635798422112,6.777444304449287,0.07773315576036328,Tomato___Early_blight
0.46694609993787206,0.4279080248304493,0.4026950562496507,0.16913280746523573,0.1291911599373558,0.16568369554164272,44.968933098799184,0.21387425318967623,0.4864170348505585,0.012122091169257648,0.4464089566116562,0.14345015842156678,1563.7205705848946,6.890168552374928,0.10165893701036328,Tomato___Tomato_Yellow_Leaf_Curl_Virus
0.45804423564763463,0.4047343647905476,0.39529919271663067,0.09712176880423262,0.10529879454133301,0.10419584201457363,345.62219237614295,0.20032641545545382,0.4668824171881287,-0.017927549516062253,0.4293012314682236,0.09286703426080017,443.0832653379956,6.3522194359647015,0.058095094236925784,Tomato___Late_blight
0.4217485534557859,0.44637542132817576,0.44352060203746196,0.18425334355417922,0.15269715312478332,0.1914011328089462,217.89622496891636,0.18620711818944735,0.4797397649149506,0.05342882525434066,0.44838935073664093,0.1643561150475052,574.3716329279313,7.160857561989171,0.09235107568223828,Tomato___Early_blight
0.4765118109592954,0.47795652512990305,0.46414252762988445,0.2142897035795851,0.18567212644574432,0.23178500817897182,0.10516356754919798,0.20043170706044955,0.5196320807795136,0.041205819959540854,0.4856525653248062,0.19711226481633454,7764.8311496916185,7.379378609718921,0.2263232436509883,Tomato___Target_Spot
0.4171209382423917,0.44314201836072276,0.39858811741069194,0.16633925697390273,0.11502055797335892,0.1751429675686584,59.190063469892934,0.1889170284629993,0.46632278917833253,0.0965222234677272,0.43998536404421235,0.13539526123242646,0.0,6.785684269850678,0.033421632322863284,Tomato___Bacterial_spot
0.4519631015667478,0.4963905132242329,0.32343899851039287,0.10591758153025344,0.12383599552867203,0.17651424692752224,99.46060179997106,0.3319645549417667,0.5140410458902924,0.24332610171546507,0.47309306200792695,0.10315147299008637,0.0,6.24969039760822,0.024312135252550788,Tomato___Tomato_Yellow_Leaf_Curl_Virus
